 Message (if any),رسالة (اختياري)
Shift Assignment: {0} created for Employee: {1},واجب التحول: {0} تم إنشاؤه للموظف: {1}
Shift Attendance,حضور المناوبة
Shift closed successfully,تم إغلاق الوردية بنجاح
Shift Closing,نهاية الوردية
Shift Details,تفاصيل المناوبة
Shift End,التحول نهاية
Shift End Time,وقت انتهاء المناوبة
Shift Factor,عامل الوردية
Shift has been successfully updated to {0}.,تم تحديث المناوبة بنجاح إلى {0}.
Shift ID,رقم الوردية
Shift is Open,الوردية مفتوحة
Shift Location,موقع المناوبة
Shift Management,إدارة التحول
Shift Name,اسم الوردية
Shift Open,الوردية مفتوحة
Shift Open:,وقت بداية الوردية:
Shift Opening,بداية الوردية
Shift Request,طلب التغيير
Shift Request Approver,الموافق على طلب التحول
Shift Request Filters,عوامل تصفية طلبات المناوبات
Shift Requests ending before this date will be excluded.,سيتم استبعاد طلبات المناوبات التي تنتهي قبل هذا التاريخ.
Shift Requests starting after this date will be excluded.,سيتم استبعاد طلبات المناوبات التي تبدأ بعد هذا التاريخ.
Shift Schedule,جدول المناوبات
Shift Schedule Assignment,تعيين جدول المناوبات
Shift Settings,إعدادات المناوبة
Shift start,بداية الوردية
Shift Start,تحول البداية
Shift Start Time,وقت بدء المناوبة
Shift Status,حالة المناوبة
Shift Summary,ملخص الوردية
Shift Timings,توقيتات المناوبة
Shift Tools,أدوات المناوبة
Shift Type,نوع التحول
Shifts,المناوبات
Ship,سفينة
Ship To State,السفينة الى الدولة
Shipment,شحنة
Shipment Amount,مبلغ الشحنة
Shipment Delivery Note,إشعار تسليم الشحنة
Shipment details,تفاصيل الشحنة
Shipment ID,معرف الشحنة
Shipment Information,معلومات الشحنة
Shipment Parcel,طرد الشحنة
Shipment Parcel Template,قالب طرد الشحنة
Shipment Type,نوع الشحنة
Shipments,شحنات
Shipping,الشحن
Shipping Account,حساب الشحن
Shipping Account Head,رئيس حساب الشحن
Shipping Address,عنوان الشحن
Shipping Address Details,تفاصيل عنوان الشحن
Shipping Address does not belong to the {0},عنوان الشحن لا ينتمي إلى {0}
"Shipping Address does not have country, which is required for this Shipping Rule",عنوان الشحن ليس لديه بلد، وهو مطلوب لقاعدة الشحن هذه
Shipping Address Name,الشحن العنوان الاسم
Shipping Address Template,قالب عنوان الشحن
Shipping Amount,مبلغ الشحن
Shipping Bill Date,تاريخ فاتورة الشحن
Shipping Bill Number,رقم فاتورة الشحن
Shipping City,مدينة الشحن
Shipping Country,دولة الشحن
Shipping County,مقاطعة البريدية
Shipping Rule,قواعد الشحن
Shipping Rule Condition,حالة قاعدة الشحن
Shipping Rule Conditions,شروط قاعدة الشحن
Shipping Rule Country,بلد قاعدة الشحن
Shipping Rule Label,ملصق قاعدة الشحن
Shipping rule not applicable for country {0} in Shipping Address,قاعدة الشحن لا تنطبق على البلد {0} في عنوان الشحن
Shipping rule only applicable for Buying,الشحن القاعدة المعمول بها فقط للشراء
Shipping rule only applicable for Selling,الشحن القاعدة المعمول بها فقط للبيع
Shipping Rule Type,نوع القاعدة الشحن
Shipping State,الدولة الشحن
Shipping Zipcode,الشحن الرمز البريدي
Shop,تسوق
Shop URL,عنوان URL للمتجر
Shopify Log,سجل Shopify
Shopify Settings,Shopify الإعدادات
Shopify Supplier,Shopify المورد
Shopify Tax Account,Shopify حساب الضرائب
Shopify Tax/Shipping Title,Shopify الضرائب / عنوان الشحن
Shopify Webhook Detail,Shopify التفاصيل Webhook
Shopping Cart,سلة التسوق
Shopping Cart Settings,إعدادات سلة التسوق
shopping-cart,عربة التسوق
shopping-cart,عربة التسوق
short,قصير
Short {0},عجز {0}
Short biography for website and other publications.,نبذة على موقع الويب وغيره من المنشورات.
Short keyboard patterns are easy to guess,نماذج لوحة المفاتيح قصيرة من السهل تخمين
Short Name,الاسم المختصر
Short Term Loan Account,حساب قرض قصير الأجل
Shortage Qty,نقص الكمية
Shortcuts,اختصارات
Show,تبين
Show 'Scan Barcode' field above every child table to insert Items with ease.,اعرض حقل &quot;مسح الرمز الشريطي&quot; فوق كل جدول فرعي لإدراج العناصر بسهولة.
"Show ""Call to Action"" in Blog","إظهار ""دعوة للعمل"" في المدونة"
"Show ""In Stock"" or ""Not in Stock"" based on stock available in this warehouse.","تظهر ""في المخزن"" أو ""ليس في المخزن"" على أساس التواجد  في هذا المخزن."
Show {0},عرض {0}
Show {0} List,إظهار قائمة {0}
Show a slideshow at the top of the page,تظهر الشرائح في أعلى الصفحة
Show Absolute Datetime in Timeline,Show Absolute Datetime in Timeline
Show Absolute Datetime in Timeline,Show Absolute Datetime in Timeline
Show Absolute Values,إظهار القيم المطلقة
Show Account Balance,Show Account Balance
Show Account Balance,Show Account Balance
Show account deletion link in My Account page,إظهار رابط حذف الحساب في صفحة حسابي
Show Aggregate Value from Subsidiary Companies,عرض القيمة الإجمالية من الشركات التابعة
Show All,إظهار الكل
Show All Activity,عرض كل النشاط
Show all activity,إظهار كل النشاط
Show all blogs,إظهار جميع المدونات
Show all Versions,عرض كل الإصدارات
Show Apply Coupon Code,إظهار تطبيق رمز القسيمة
Show as cc,كما تظهر سم مكعب
Show Attachments,عرض المرفقات
Show Attachments,عرض المرفقات
Show attachments,إظهار المرفقات
Show Availability Status,إظهار حالة التوفر
Show Balances in Chart Of Accounts,عرض الأرصدة في شجرة الحسابات
Show Barcode Field,مشاهدة الباركود الميدان
Show Barcode Field in Stock Transactions,عرض حقل الباركود في معاملات المخزون
Show Calendar,إظهار التقويم
Show Cancelled Entries,إظهار الإدخالات الملغاة
Show closed,مشاهدة مغلقة
Show Completed,عرض مكتمل
Show Contact Us Button,عرض الاتصال بنا زر
Show Credit / Debit in Company Currency,Show Credit / Debit in Company Currency
Show Credit / Debit in Company Currency,Show Credit / Debit in Company Currency
Show Cumulative Amount,إظهار المبلغ التراكمي
Show Currency Symbol on Right Side,إظهار رمز العملة على الجانب الأيمن
Show Dashboard,عرض لوحة القيادة
Show Dimension Wise Stock,عرض المخزون حسب الأبعاد
Show Disabled Items,Show Disabled Items
Show Disabled Items,Show Disabled Items
Show Disabled Warehouses,عرض المستودعات المعطلة
Show Discount Controls,Show Discount Controls
Show Discount Controls,Show Discount Controls
Show discount input fields in POS,Show discount input fields in POS
Show discount input fields in POS,Show discount input fields in POS
Show discounts as percentages,عرض الخصومات كنسب مئوية
Show Document,عرض المستند
Show Employee,إظهار الموظف
Show Error,إظهار الخطأ
Show exact totals without rounding,عرض الإجماليات الدقيقة بدون تقريب
Show exploded view,عرض عرض انفجرت
Show Failed Logs,إظهار السجلات الفاشلة
Show Fieldname (click to copy on clipboard),إظهار اسم الحقل (انقر للنسخ إلى الحافظة)
Show First Document Tour,إظهار جولة المستند الأولى
Show footer on login,إظهار التذييل عند تسجيل الدخول
Show Form Tour,إظهار جولة في النموذج
Show Full Error and Allow Reporting of Issues to the Developer,إظهار خطأ كامل والسماح للإبلاغ عن القضايا إلى المطور
